Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,Yes,0,Graduate,No,3048,1996,170,360,1.0,Urban,Y
LP000002,Female,Yes,0,Graduate,No,726,754,55,360,1.0,Semiurban,Y
LP000003,Male,No,2,Graduate,No,3534,14731,103,300,1.0,Rural,Y
LP000004,Male,No,0,Graduate,No,10206,6298,125,120,1.0,Semiurban,Y
LP000005,Male,No,0,Graduate,Yes,7556,0,66,300,1.0,Semiurban,Y
LP000006,Male,Yes,1,Not Graduate,No,6922,0,123,360,1.0,Urban,Y
LP000007,Male,Yes,0,Not Graduate,No,3928,1138,268,360,1.0,Semiurban,Y
LP000008,Female,No,1,Graduate,No,1766,3045,78,180,1.0,Urban,Y
LP000009,Male,Yes,0,Graduate,No,7422,2412,124,120,1.0,Urban,Y
LP000010,Male,Yes,0,Graduate,Yes,2521,8133,347,360,0.0,Semiurban,Y
LP000011,Male,Yes,0,Graduate,Yes,28205,4665,87,180,1.0,Rural,Y
LP000012,Female,No,0,Graduate,No,7757,0,298,120,0.0,Semiurban,N
LP000013,Female,No,2,Graduate,No,3088,0,129,120,1.0,Urban,Y
LP000014,Male,Yes,0,Graduate,No,3013,0,156,300,1.0,Semiurban,Y
LP000015,Male,No,0,Graduate,No,4562,1429,283,360,1.0,Rural,Y
LP000016,Male,No,0,Graduate,No,4057,0,116,360,0.0,Semiurban,N
LP000017,Male,Yes,0,Graduate,No,12009,1699,203,240,0.0,Semiurban,Y
LP000018,Male,Yes,2,Graduate,No,5705,3306,230,360,1.0,Rural,Y
LP000019,Male,No,0,Graduate,No,2737,1233,107,180,1.0,Semiurban,Y
LP000020,Male,Yes,1,Graduate,No,22300,525,101,360,1.0,Urban,Y
LP000021,Male,Yes,3,Graduate,No,5112,1559,132,360,1.0,Urban,Y
LP000022,Male,Yes,0,Graduate,No,9091,2619,134,360,1.0,Rural,Y
LP000023,Male,No,2,Graduate,No,3021,823,86,240,1.0,Semiurban,Y
LP000024,Male,No,0,Graduate,No,6571,1362,107,120,1.0,Urban,Y
LP000025,Male,No,0,Graduate,No,6303,585,26,300,1.0,Semiurban,Y
LP000026,Male,Yes,0,Graduate,No,1083,6926,125,360,1.0,Semiurban,Y
LP000027,Male,No,1,Not Graduate,No,24642,1269,232,120,1.0,Rural,Y
LP000028,Male,No,3,Graduate,No,13801,0,64,480,0.0,Urban,Y
LP000029,Male,Yes,0,Graduate,No,3576,11321,117,480,1.0,Semiurban,Y
LP000030,Male,No,1,Graduate,No,2034,0,503,360,0.0,Rural,N
LP000031,Male,Yes,0,Graduate,No,6490,539,146,480,1.0,Urban,Y
LP000032,Male,Yes,0,Graduate,No,5267,147,292,180,1.0,Urban,Y
LP000033,Male,Yes,0,Graduate,Yes,6532,309,89,120,1.0,Rural,Y
LP000034,Female,Yes,3,Graduate,No,5728,0,185,120,1.0,Semiurban,Y
LP000035,Female,Yes,1,Graduate,No,7368,9453,82,360,0.0,Semiurban,Y
LP000036,Female,Yes,0,Graduate,No,15644,2077,181,120,1.0,Semiurban,Y
LP000037,Male,Yes,0,Graduate,No,7742,2885,226,480,1.0,Urban,Y
LP000038,Male,No,0,Not Graduate,No,2122,125,200,180,1.0,Rural,Y
LP000039,Male,Yes,0,Graduate,No,14618,429,124,240,1.0,Urban,Y
LP000040,Male,Yes,0,Graduate,No,18260,5242,170,360,1.0,Urban,Y
LP000041,Male,Yes,2,Graduate,No,61184,2550,171,240,1.0,Urban,Y
LP000042,Male,No,0,Not Graduate,No,2000,0,207,240,1.0,Urban,Y
LP000043,Male,Yes,0,Graduate,No,5968,0,139,360,1.0,Rural,Y
LP000044,Female,Yes,0,Graduate,No,929,12873,236,240,1.0,Semiurban,Y
LP000045,Male,No,2,Graduate,No,7650,0,304,240,1.0,Rural,Y
LP000046,Male,Yes,1,Graduate,No,3169,0,126,240,1.0,Semiurban,Y
LP000047,Male,Yes,0,Graduate,No,22896,2278,151,300,1.0,Semiurban,Y
LP000048,Male,Yes,1,Graduate,No,2644,31905,94,480,1.0,Semiurban,Y
LP000049,Male,No,0,Graduate,No,1272,145,175,360,0.0,Rural,N
LP000050,Male,Yes,0,Graduate,No,3371,0,176,240,0.0,Semiurban,Y
LP000051,Female,No,0,Graduate,No,1011,1575,152,300,1.0,Urban,Y
LP000052,Male,Yes,0,Graduate,No,8963,0,158,300,1.0,Urban,Y
LP000053,Female,No,0,Graduate,No,941,821,387,480,1.0,Urban,Y
LP000054,Female,No,2,Graduate,No,5027,0,35,180,1.0,Semiurban,Y
LP000055,Male,No,2,Graduate,No,932,4245,115,300,1.0,Rural,Y
LP000056,Female,Yes,1,Not Graduate,Yes,3803,75772,124,360,0.0,Urban,Y
LP000057,Male,No,0,Graduate,No,18300,0,307,480,1.0,Urban,Y
LP000058,Male,Yes,0,Graduate,Yes,6558,0,188,180,1.0,Urban,Y
LP000059,Male,Yes,1,Graduate,No,2463,1087,190,240,1.0,Semiurban,Y
LP000060,Male,Yes,0,Not Graduate,No,4793,1049,278,240,1.0,Urban,Y
LP000061,Male,No,0,Graduate,No,4986,209,135,120,1.0,Urban,Y
LP000062,Male,No,0,Graduate,No,7173,0,205,360,1.0,Urban,Y
LP000063,Female,No,2,Graduate,No,1646,0,113,360,0.0,Semiurban,N
LP000064,Male,Yes,0,Graduate,No,7895,391,87,360,1.0,Semiurban,Y
LP000065,Male,Yes,0,Graduate,No,564,0,363,120,1.0,Semiurban,Y
LP000066,Male,No,1,Graduate,Yes,2969,0,178,120,1.0,Urban,Y
LP000067,Male,Yes,0,Graduate,Yes,3325,749,204,240,1.0,Semiurban,Y
LP000068,Female,Yes,0,Not Graduate,No,8157,0,86,240,0.0,Urban,Y
LP000069,Male,Yes,0,Graduate,No,5004,12307,191,360,1.0,Urban,Y
LP000070,Female,Yes,0,Graduate,No,1596,4360,361,180,1.0,Semiurban,Y
LP000071,Male,Yes,1,Graduate,No,2235,0,129,120,1.0,Urban,Y
LP000072,Male,Yes,0,Graduate,No,5761,1359,79,300,1.0,Semiurban,Y
LP000073,Male,Yes,0,Graduate,No,4613,0,162,300,1.0,Urban,Y
LP000074,Female,Yes,2,Graduate,No,3092,0,88,300,1.0,Urban,Y
LP000075,Male,No,2,Graduate,No,3345,0,68,360,1.0,Rural,Y
LP000076,Male,Yes,2,Not Graduate,No,8577,20965,102,120,1.0,Semiurban,Y
LP000077,Male,Yes,0,Not Graduate,No,3248,2178,116,360,1.0,Semiurban,Y
LP000078,Male,Yes,0,Graduate,No,4580,2915,90,240,1.0,Rural,Y
LP000079,Male,Yes,3,Graduate,No,27887,1686,288,240,0.0,Semiurban,Y
LP000080,Male,No,1,Not Graduate,No,1573,0,381,480,1.0,Semiurban,Y
LP000081,Female,No,0,Graduate,No,1117,1446,202,240,0.0,Semiurban,N
LP000082,Male,Yes,0,Not Graduate,No,9199,0,179,360,1.0,Urban,Y
LP000083,Male,Yes,0,Graduate,No,2855,0,138,240,1.0,Urban,Y
LP000084,Male,No,2,Graduate,No,3810,410,94,360,0.0,Semiurban,N
LP000085,Male,No,0,Graduate,No,2630,524,330,360,1.0,Urban,Y
LP000086,Male,Yes,0,Graduate,Yes,3992,1066,143,360,1.0,Urban,Y
LP000087,Male,Yes,0,Graduate,Yes,17655,8481,117,360,0.0,Urban,Y
LP000088,Male,Yes,1,Graduate,No,9336,1839,246,360,1.0,Urban,Y
LP000089,Female,No,2,Graduate,No,9796,410,143,240,1.0,Urban,Y
LP000090,Male,Yes,0,Graduate,Yes,1582,8145,241,360,1.0,Urban,Y
LP000091,Male,No,1,Graduate,No,1956,4346,120,360,1.0,Urban,Y
LP000092,Male,Yes,3,Not Graduate,No,507,3449,246,120,1.0,Urban,Y
LP000093,Male,Yes,0,Graduate,No,2572,4267,242,300,1.0,Semiurban,Y
LP000094,Male,Yes,0,Not Graduate,No,10565,0,287,360,1.0,Urban,Y
LP000095,Male,Yes,0,Graduate,No,7432,24887,104,300,1.0,Rural,Y
